label,gloss,accuracy,support
583,toast,0.0,2
584,today,0.0,2
586,tomorrow,0.0,2
528,spin,0.0,2
590,trade,0.0,3
591,train,0.0,2
595,tuesday,0.0,2
596,turkey,0.0,2
598,understand,0.0,2
599,underwear,0.0,2
600,university,0.0,2
601,until,0.0,2
602,up,0.0,2
570,theory,0.0,2
572,think,0.0,2
573,third,0.0,2
588,tournament,0.0,2
606,voice,0.0,2
607,volunteer,0.0,2
608,vomit,0.0,2
609,vote,0.0,2
18,always,0.0,2
20,angel,0.0,2
21,angry,0.0,2
23,answer,0.0,2
24,appear,0.0,2
26,appointment,0.0,2
27,approve,0.0,2
28,area,0.0,2
630,why,0.0,3
31,arrive,0.0,2
32,art,0.0,2
7,after,0.0,2
8,afternoon,0.0,2
9,again,0.0,2
11,ago,0.0,2
12,airplane,0.0,2
13,all,0.0,2
17,also,0.0,2
626,when,0.0,2
628,white,0.0,2
629,who,0.0,3
30,arm,0.0,2
543,stress,0.0,2
544,strong,0.0,2
545,struggle,0.0,2
50,bar,0.0,3
51,barely,0.0,2
52,bark,0.0,2
53,basketball,0.0,3
